team,expected_points_blended,expected_points_elo_only,elo,fifa_equivalent_elo,fifa_blend_weight,recent_matches
Spain,7.069790141779269,7.164056139616895,2214.495498009227,2148.0916819544045,0.2,52
Argentina,6.5588022668762544,6.556212778606566,2161.668025467925,2150.2800941637397,0.2,51
England,6.423721466809887,6.456414502920984,2116.324330649571,2108.178804589617,0.2,52
Canada,6.102897406085465,6.221971268826872,1914.7800288326926,1878.6177832244407,0.2,52
Belgium,6.003058811228456,5.927340852307806,1970.6504335375207,2034.8498986065051,0.2,48
France,5.948253107294212,5.91037233149642,2136.9366971041127,2144.6637393921255,0.2,53
Germany,5.936941555298597,5.893816774992375,2028.8390449205842,2029.3190286868185,0.2,50
Portugal,5.624237941339074,5.550024351123987,2031.4946119096098,2056.742569185049,0.2,52
Japan,5.5646589865569,5.694414915943147,2032.0935940052082,1965.8978170420637,0.2,52
Ecuador,5.4440539829751575,5.641595681502056,2052.570130328418,1911.991069416801,0.2,48
Netherlands,5.388260610229924,5.3747585746395705,2023.1362968647475,2044.5353323298514,0.2,51
Switzerland,5.318517308511155,5.413002586092414,1972.3273988609262,1956.0499621000554,0.2,50
Morocco,5.305687481160792,5.209091955171145,2016.3576418656164,2045.8432505643368,0.2,64
Brazil,5.2047062312774095,5.148352148299724,2048.9853225851616,2055.0414206316987,0.2,46
Colombia,5.037160126350857,5.096024581746017,2049.3244565747154,1999.578848701362,0.2,46
Croatia,4.967697989694204,4.96671725515425,1996.6512134524776,2011.4526946340434,0.2,51
Iran,4.719664826948062,4.703977338223792,1904.453068353993,1929.9941792326595,0.2,47
Uruguay,4.695805655516499,4.705150930284984,1971.6148489384425,1975.7200265284932,0.2,47
Turkey,4.686765628719861,4.7792864591472375,2001.3031620426302,1918.1545272407488,0.2,47
Norway,4.530296933402252,4.764797878737845,2021.6386162265244,1876.8738922451266,0.2,42
Mexico,4.200930210252118,4.198594042705828,1991.255397975142,1997.3305970956776,0.2,70
Algeria,4.146363229657406,4.136223089431715,1899.2796726920435,1888.4912836220265,0.2,57
United States,4.045378792175482,3.748294949321682,1869.8263672990045,1974.1471052530337,0.2,64
Austria,3.988236390179136,3.9217485270844183,1888.4091437725835,1911.0336390752168,0.2,45
Paraguay,3.9864917865518743,4.172193420740984,1964.6890011994262,1832.3448328762724,0.2,40
Ivory Coast,3.884325460706071,3.7833660705127135,1821.3588771432371,1862.709052280797,0.2,50
Scotland,3.8121084612053404,3.883161159444045,1897.5885189957385,1830.6265873525367,0.2,45
Australia,3.7002945222210206,3.724864942632648,1941.793272808268,1895.595074817173,0.2,47
Egypt,3.6953163431086944,3.5808027940616998,1798.7494822775877,1881.0882954451354,0.2,53
Senegal,3.6413908849020444,3.498974586582425,1912.539368509002,1985.1233602404805,0.2,56
Panama,3.583508098500143,3.5881083393867286,1847.971367713974,1861.247261312843,0.2,64
Bosnia and Herzegovina,3.078887704399711,3.1190733076008774,1703.0066689531625,1729.4638135819441,0.20408163265306123,39
Sweden,2.974469526031226,2.918555416751606,1784.0427330293214,1836.1403603018384,0.2,45
Uzbekistan,2.9681855841227294,3.0404637808369097,1853.7613436473587,1792.491794907834,0.2,49
DR Congo,2.8224513725689797,2.7629066989967606,1785.2389488216138,1805.912916660397,0.2,49
South Korea,2.7879496352419824,2.845766374472785,1933.080470517027,1923.9845941421804,0.2,56
Saudi Arabia,2.656368366446949,2.616938602763941,1717.1296607916554,1760.238360275719,0.2,70
Tunisia,2.550629025833167,2.509100285411666,1761.0842680591604,1807.605516728555,0.2,56
Iraq,2.3671942790634652,2.325769218835123,1763.4274477261831,1782.464421776779,0.2,53
Cape Verde,2.288935488439241,2.2493086341270834,1667.7049656590964,1713.2216917157853,0.2,44
Czech Republic,2.2841030317271063,2.324460769531196,1797.4778022376956,1814.7947927756281,0.2,46
Haiti,2.191268065259331,2.255322507727195,1718.64844085853,1649.1080527704203,0.20833333333333334,38
New Zealand,2.1082057509940877,2.2878823550510434,1745.6226884577752,1640.5595675777054,0.20833333333333334,38
Qatar,2.0926938696658435,1.8856682942325818,1577.666511364623,1788.4483614116798,0.2,59
Jordan,1.919201638876293,1.9892784515366975,1800.34709565257,1734.5929046975734,0.2,58
South Africa,1.794075225184148,1.7088989985465977,1652.4106096274295,1767.0771484298916,0.2,58
Ghana,1.720549524296247,1.6926806050982879,1658.3864532831144,1696.1247213303545,0.2,46
Curaçao,1.4387916796036504,1.4049087938246376,1637.3743276512228,1651.672598328235,0.20408163265306123,39
