team,elo,group,win_group,qualify,R16,QF,SF,final,champion
Spain,2201,G,0.77705,0.9927,0.8509,0.654,0.4771,0.33325,0.2268
Argentina,2159,I,0.7322,0.97845,0.8133,0.61425,0.43605,0.29885,0.1925
England,2115,K,0.64855,0.97635,0.7504,0.50695,0.3163,0.1827,0.09945
France,2138,H,0.5973,0.9526,0.7293,0.49065,0.3054,0.18005,0.0987
Portugal,2037,J,0.46795,0.91105,0.61515,0.3543,0.1879,0.08955,0.03805
Germany,2029,D,0.46765,0.95155,0.6168,0.34135,0.1778,0.08345,0.03575
Japan,2019,E,0.4315,0.91285,0.59335,0.33295,0.16995,0.07915,0.0332
Brazil,2050,C,0.43525,0.90515,0.57575,0.31585,0.15985,0.07535,0.03165
Ecuador,2024,D,0.4166,0.93805,0.59545,0.32545,0.1639,0.0742,0.0302
Morocco,2022,C,0.39105,0.89015,0.55965,0.30225,0.1506,0.0704,0.02955
Netherlands,2027,E,0.45035,0.914,0.5763,0.30495,0.14595,0.06435,0.0266
Colombia,2039,J,0.3943,0.87935,0.54105,0.2861,0.1394,0.062,0.0255
Mexico,1992,L,0.75885,0.997,0.66885,0.35805,0.16815,0.07055,0.02515
Belgium,1983,F,0.5399,0.92335,0.57355,0.2985,0.136,0.0566,0.0205
Norway,1993,H,0.2498,0.80145,0.4278,0.20405,0.08915,0.03585,0.01305
Turkey,1985,B,0.30795,0.7587,0.4203,0.20075,0.08715,0.0346,0.01285
Croatia,2000,K,0.25435,0.8862,0.4583,0.2019,0.08095,0.02975,0.00985
Switzerland,1969,A,0.3508,0.90555,0.4727,0.20065,0.07475,0.026,0.0085
Uruguay,1972,G,0.18925,0.87325,0.42275,0.1665,0.06125,0.02115,0.007
Canada,1908,A,0.5774,0.9633,0.49515,0.1923,0.06465,0.0191,0.0056
South Korea,1931,L,0.22035,0.95565,0.43235,0.15865,0.05625,0.0186,0.0054
Iran,1910,F,0.27885,0.8179,0.3715,0.1436,0.04955,0.0153,0.0049
Paraguay,1938,B,0.2099,0.6532,0.2982,0.1205,0.04225,0.01355,0.00395
Austria,1893,I,0.118,0.69835,0.28385,0.10675,0.0367,0.0111,0.0032
Algeria,1897,I,0.12415,0.7071,0.2959,0.1079,0.03725,0.01145,0.0029
Australia,1933,B,0.18565,0.6052,0.266,0.0995,0.03455,0.00935,0.00235
Senegal,1927,H,0.12205,0.64485,0.2555,0.0937,0.02975,0.0079,0.00215
Scotland,1884,C,0.1467,0.6617,0.24825,0.089,0.02895,0.0081,0.00165
United States,1891,B,0.2965,0.72955,0.26485,0.07715,0.02065,0.0047,0.00095
Ivory Coast,1830,D,0.1052,0.6683,0.20695,0.06,0.01575,0.0034,0.0006
Uzbekistan,1842,J,0.07565,0.4655,0.12755,0.0336,0.00815,0.00175,0.0005
Egypt,1815,F,0.13735,0.638,0.19465,0.0517,0.0124,0.0021,0.00025
DR Congo,1789,J,0.0621,0.41795,0.1047,0.0259,0.0044,0.00075,0.0002
Panama,1851,K,0.08585,0.6224,0.172,0.0466,0.0103,0.00185,0.00015
Tunisia,1770,E,0.055,0.3983,0.0825,0.01635,0.00255,0.0003,0.0001
Sweden,1794,E,0.06315,0.4477,0.0955,0.0212,0.0035,0.0006,0.0001
Iraq,1767,H,0.03085,0.2811,0.0591,0.01155,0.0021,0.0003,5e-05
Haiti,1704,C,0.027,0.24965,0.0405,0.00625,0.00095,0.0003,5e-05
Czech Republic,1801,L,0.01735,0.4558,0.0927,0.02195,0.0044,0.001,5e-05
Jordan,1787,I,0.02565,0.27985,0.0512,0.01005,0.00145,0.00025,5e-05
South Africa,1675,L,0.00345,0.21995,0.0272,0.00435,0.00065,5e-05,0.0
Curaçao,1640,D,0.01055,0.14405,0.01235,0.00175,0.0001,0.0,0.0
New Zealand,1724,F,0.0439,0.31155,0.0458,0.0073,0.00115,0.00015,0.0
Cape Verde,1677,G,0.01315,0.2907,0.03325,0.004,0.0005,5e-05,0.0
Ghana,1666,K,0.01125,0.1847,0.01695,0.00175,0.0002,0.0,0.0
Bosnia and Herzegovina,1708,A,0.053,0.498,0.0818,0.01545,0.00215,0.0001,0.0
Saudi Arabia,1726,G,0.02055,0.3947,0.0602,0.00925,0.0009,0.0001,0.0
Qatar,1620,A,0.0188,0.24725,0.0219,0.0025,0.00025,0.0,0.0
